Subject_Code,Subject_Course,CLASS_DESCR,building,building_code,Room,Term_Code,TERM,Catalog_Number,Section,class_duration_weekly,Duration_minutes,Division,Component_Code,Class_NBR,Day10_Enroll,WSCH_Max,Enrl_Cap,Capacity,Room_Description,ACES,AGNROther,AcademicServices,Accounting,AfricanaStudiesIns,AgriculturalResour,AlliedHealthScienc,AmericanStudies,AnimalScience,Anthropology,ArtArtHistory,BUSNOther,BiologicalSciences,BiomedicalEngineer,CenterforExcellenc,ChemicalBiomolecul,Chemistry,CivilEnvironmental,CognitiveScience,Communication,ComputerScienceEng,Computing,CurriculumInstruct,DigitalMediaDesign,DramaticArts,ENGROther,EarthSciences,EcologyEvolutionar,Economics,EducationalLeaders,EducationalPsychol,ElectricalComputer,EngineeringPhysics,English,EnvironmentalStudi,Exploratory,Finance,Geography,GlobalAffairs,History,HumanDevelopmentFa,Individualized,Interdisciplinary,Journalism,Kinesiology,LatinoLatinAmerica,Linguistics,LiteraturesCulture,Management,MarineSciences,Marketing,MaterialsScienceEn,Mathematics,MechanicalEngineer,MechanicalAerospac,MolecularCellBiolo,Music,NaturalResourcesth,No_Department,NonDegree,Nursing,NutritionalScience,OfficeofEnrichment,OperationsInformat,PathobiologyVeteri,PharmaceuticalScie,PharmacyPractice,Philosophy,Physics,PhysiologyNeurobio,PlantScienceLandsc,PoliticalScience,PolymerSciencePhD,PreBachelorofSocia,PreIndividualized,PrePharmacy,PreSportManagement,PreTeaching,PsychologicalScien,RoboticsEngineerin,SocialWork,Sociology,SpeechLanguageHear,Statistics,UConnHealthOther,UrbanCommunityStud,WomenGenderSexuali,Sum_Enrollment,Bldg_Description
ART,ART_3455,Portrait Photography,365,ARTB,101,1238,Fall 2023,3455,1,5:30,330,UD,LAB,9626,8,110,12,20,Class Laboratory,,,,,,,,,,,5,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,SCHOOL OF FINE ARTS - ART
ART,ART_2410,"Basic Studio, Photography",365,ARTB,101,1238,Fall 2023,2410,4,5:30,330,LD,LAB,14011,8,110,10,20,Class Laboratory,,,,,,,,,,,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,SCHOOL OF FINE ARTS - ART
CHEG,CHEG_4142,Unit Oper & Proc Simulation,236,MONT,104,1238,Fall 2023,4142,1,2:30,150,UD,LAB,5917,56,480,98,192,Classroom,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,HENRY RUTHVEN MONTEITH BUILDING
DRAM,DRAM_4703,Acting VII,233,DRMU,105,1238,Fall 2023,4703,1,4:00,240,UD,LAB,13398,6,80,15,20,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,DRAMA MUSIC BUILDING
CE,CE_3520,Civil Engineering Material Lab,133,CAST,106,1238,Fall 2023,3520,002L,3:00,180,UD,LAB,7027,9,45,16,15,Class Laboratory,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,CASTLEMAN BUILDING (ENG. I)
CE,CE_3520,Civil Engineering Material Lab,133,CAST,106,1238,Fall 2023,3520,001L,3:00,180,UD,LAB,7026,13,45,16,15,Class Laboratory,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,CASTLEMAN BUILDING (ENG. I)
MUSI,MUSI_1311,"Ear Training, Musicianship I",234,MUSB,108,1238,Fall 2023,1311,2,1:40,100,LD,LAB,4692,25,117,25,70,Class Laboratory,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,25,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_1501,Applied Music Techniques,234,MUSB,108,1238,Fall 2023,1501,1,1:40,100,LD,LAB,3672,15,117,15,70,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_1116,Small Ensemble,234,MUSB,108,1238,Fall 2023,1116,2,2:00,120,LD,LAB,7912,12,140,20,70,Class Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,12,MUSIC BUILDING (W/ORCH. BAND)
MUSI,MUSI_1111,Chorus,234,MUSB,108,1238,Fall 2023,1111,9,2:00,120,LD,LAB,6851,5,140,35,70,Class Laboratory,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,MUSIC BUILDING (W/ORCH. BAND)
